,variables
123,Merchnum_total_7
124,Merchnum_std_7
125,Merchnum_actual/avg_7
126,Merchnum_actual/max_7
127,Merchnum_actual/total_7
128,Merchnum_variability_avg_7
129,Merchnum_variability_min_7
130,Merchnum_variability_max_7
131,Merchnum_variability_cum_7
132,Merchnum_variability_std_7
133,Merchnum_count_14
134,Merchnum_avg_14
135,Merchnum_max_14
136,Merchnum_total_14
137,Merchnum_std_14
138,Merchnum_actual/avg_14
139,Merchnum_actual/max_14
140,Merchnum_actual/total_14
141,Merchnum_variability_avg_14
142,Merchnum_variability_min_14
143,Merchnum_variability_max_14
144,Merchnum_variability_cum_14
145,Merchnum_variability_std_14
146,Merchnum_count_30
147,Merchnum_avg_30
148,Merchnum_max_30
149,Merchnum_total_30
150,Merchnum_std_30
151,Merchnum_actual/avg_30
152,Merchnum_actual/max_30
153,Merchnum_actual/total_30
154,Merchnum_variability_avg_30
155,Merchnum_variability_min_30
156,Merchnum_variability_max_30
157,Merchnum_variability_cum_30
158,Merchnum_variability_std_30
159,Merch_description_day_since
160,Merch_description_count_0
161,Merch_description_avg_0
162,Merch_description_max_0
163,Merch_description_total_0
164,Merch_description_std_0
165,Merch_description_actual/avg_0
166,Merch_description_actual/max_0
167,Merch_description_actual/total_0
168,Merch_description_variability_avg_0
169,Merch_description_variability_min_0
170,Merch_description_variability_max_0
171,Merch_description_variability_cum_0
172,Merch_description_variability_std_0
173,Merch_description_count_1
174,Merch_description_avg_1
175,Merch_description_max_1
176,Merch_description_total_1
177,Merch_description_std_1
178,Merch_description_actual/avg_1
179,Merch_description_actual/max_1
180,Merch_description_actual/total_1
181,Merch_description_variability_avg_1
182,Merch_description_variability_min_1
183,Merch_description_variability_max_1
184,Merch_description_variability_cum_1
185,Merch_description_variability_std_1
186,Merch_description_count_3
187,Merch_description_avg_3
188,Merch_description_max_3
189,Merch_description_total_3
190,Merch_description_std_3
191,Merch_description_actual/avg_3
192,Merch_description_actual/max_3
193,Merch_description_actual/total_3
194,Merch_description_variability_avg_3
195,Merch_description_variability_min_3
196,Merch_description_variability_max_3
197,Merch_description_variability_cum_3
198,Merch_description_variability_std_3
199,Merch_description_count_7
200,Merch_description_avg_7
201,Merch_description_max_7
202,Merch_description_total_7
203,Merch_description_std_7
204,Merch_description_actual/avg_7
205,Merch_description_actual/max_7
206,Merch_description_actual/total_7
207,Merch_description_variability_avg_7
208,Merch_description_variability_min_7
209,Merch_description_variability_max_7
210,Merch_description_variability_cum_7
211,Merch_description_variability_std_7
212,Merch_description_count_14
213,Merch_description_avg_14
214,Merch_description_max_14
215,Merch_description_total_14
216,Merch_description_std_14
217,Merch_description_actual/avg_14
218,Merch_description_actual/max_14
219,Merch_description_actual/total_14
220,Merch_description_variability_avg_14
221,Merch_description_variability_min_14
222,Merch_description_variability_max_14
223,Merch_description_variability_cum_14
224,Merch_description_variability_std_14
225,Merch_description_count_30
226,Merch_description_avg_30
227,Merch_description_max_30
228,Merch_description_total_30
229,Merch_description_std_30
230,Merch_description_actual/avg_30
231,Merch_description_actual/max_30
232,Merch_description_actual/total_30
233,Merch_description_variability_avg_30
234,Merch_description_variability_min_30
235,Merch_description_variability_max_30
236,Merch_description_variability_cum_30
237,Merch_description_variability_std_30
238,Merch_num_des_day_since
239,Merch_num_des_count_0
240,Merch_num_des_avg_0
241,Merch_num_des_max_0
242,Merch_num_des_total_0
243,Merch_num_des_std_0
244,Merch_num_des_actual/avg_0
245,Merch_num_des_actual/max_0
246,Merch_num_des_actual/total_0
247,Merch_num_des_variability_avg_0
248,Merch_num_des_variability_min_0
249,Merch_num_des_variability_max_0
250,Merch_num_des_variability_cum_0
251,Merch_num_des_variability_std_0
252,Merch_num_des_count_1
253,Merch_num_des_avg_1
254,Merch_num_des_max_1
255,Merch_num_des_total_1
256,Merch_num_des_std_1
257,Merch_num_des_actual/avg_1
258,Merch_num_des_actual/max_1
259,Merch_num_des_actual/total_1
260,Merch_num_des_variability_avg_1
261,Merch_num_des_variability_min_1
262,Merch_num_des_variability_max_1
263,Merch_num_des_variability_cum_1
264,Merch_num_des_variability_std_1
265,Merch_num_des_count_3
266,Merch_num_des_avg_3
267,Merch_num_des_max_3
268,Merch_num_des_total_3
269,Merch_num_des_std_3
270,Merch_num_des_actual/avg_3
271,Merch_num_des_actual/max_3
272,Merch_num_des_actual/total_3
273,Merch_num_des_variability_avg_3
274,Merch_num_des_variability_min_3
275,Merch_num_des_variability_max_3
276,Merch_num_des_variability_cum_3
277,Merch_num_des_variability_std_3
278,Merch_num_des_count_7
279,Merch_num_des_avg_7
280,Merch_num_des_max_7
281,Merch_num_des_total_7
282,Merch_num_des_std_7
283,Merch_num_des_actual/avg_7
284,Merch_num_des_actual/max_7
285,Merch_num_des_actual/total_7
286,Merch_num_des_variability_avg_7
287,Merch_num_des_variability_min_7
288,Merch_num_des_variability_max_7
289,Merch_num_des_variability_cum_7
290,Merch_num_des_variability_std_7
291,Merch_num_des_count_14
292,Merch_num_des_avg_14
293,Merch_num_des_max_14
294,Merch_num_des_total_14
295,Merch_num_des_std_14
296,Merch_num_des_actual/avg_14
297,Merch_num_des_actual/max_14
298,Merch_num_des_actual/total_14
299,Merch_num_des_variability_avg_14
300,Merch_num_des_variability_min_14
301,Merch_num_des_variability_max_14
302,Merch_num_des_variability_cum_14
303,Merch_num_des_variability_std_14
304,Merch_num_des_count_30
305,Merch_num_des_avg_30
306,Merch_num_des_max_30
307,Merch_num_des_total_30
308,Merch_num_des_std_30
309,Merch_num_des_actual/avg_30
310,Merch_num_des_actual/max_30
311,Merch_num_des_actual/total_30
312,Merch_num_des_variability_avg_30
313,Merch_num_des_variability_min_30
314,Merch_num_des_variability_max_30
315,Merch_num_des_variability_cum_30
316,Merch_num_des_variability_std_30
317,Merch_num_state_day_since
318,Merch_num_state_count_0
319,Merch_num_state_avg_0
320,Merch_num_state_max_0
321,Merch_num_state_total_0
322,Merch_num_state_std_0
323,Merch_num_state_actual/avg_0
324,Merch_num_state_actual/max_0
325,Merch_num_state_actual/total_0
326,Merch_num_state_variability_avg_0
327,Merch_num_state_variability_min_0
328,Merch_num_state_variability_max_0
329,Merch_num_state_variability_cum_0
330,Merch_num_state_variability_std_0
331,Merch_num_state_count_1
332,Merch_num_state_avg_1
333,Merch_num_state_max_1
334,Merch_num_state_total_1
335,Merch_num_state_std_1
336,Merch_num_state_actual/avg_1
337,Merch_num_state_actual/max_1
338,Merch_num_state_actual/total_1
339,Merch_num_state_variability_avg_1
340,Merch_num_state_variability_min_1
341,Merch_num_state_variability_max_1
342,Merch_num_state_variability_cum_1
343,Merch_num_state_variability_std_1
344,Merch_num_state_count_3
345,Merch_num_state_avg_3
346,Merch_num_state_max_3
347,Merch_num_state_total_3
348,Merch_num_state_std_3
349,Merch_num_state_actual/avg_3
350,Merch_num_state_actual/max_3
351,Merch_num_state_actual/total_3
352,Merch_num_state_variability_avg_3
353,Merch_num_state_variability_min_3
354,Merch_num_state_variability_max_3
355,Merch_num_state_variability_cum_3
356,Merch_num_state_variability_std_3
357,Merch_num_state_count_7
358,Merch_num_state_avg_7
359,Merch_num_state_max_7
360,Merch_num_state_total_7
361,Merch_num_state_std_7
362,Merch_num_state_actual/avg_7
363,Merch_num_state_actual/max_7
364,Merch_num_state_actual/total_7
365,Merch_num_state_variability_avg_7
366,Merch_num_state_variability_min_7
367,Merch_num_state_variability_max_7
368,Merch_num_state_variability_cum_7
369,Merch_num_state_variability_std_7
370,Merch_num_state_count_14
371,Merch_num_state_avg_14
372,Merch_num_state_max_14
373,Merch_num_state_total_14
374,Merch_num_state_std_14
375,Merch_num_state_actual/avg_14
376,Merch_num_state_actual/max_14
377,Merch_num_state_actual/total_14
378,Merch_num_state_variability_avg_14
379,Merch_num_state_variability_min_14
380,Merch_num_state_variability_max_14
381,Merch_num_state_variability_cum_14
382,Merch_num_state_variability_std_14
383,Merch_num_state_count_30
384,Merch_num_state_avg_30
385,Merch_num_state_max_30
386,Merch_num_state_total_30
387,Merch_num_state_std_30
388,Merch_num_state_actual/avg_30
389,Merch_num_state_actual/max_30
390,Merch_num_state_actual/total_30
391,Merch_num_state_variability_avg_30
392,Merch_num_state_variability_min_30
393,Merch_num_state_variability_max_30
394,Merch_num_state_variability_cum_30
395,Merch_num_state_variability_std_30
396,Merch_num_zip_day_since
397,Merch_num_zip_count_0
398,Merch_num_zip_avg_0
399,Merch_num_zip_max_0
400,Merch_num_zip_total_0
401,Merch_num_zip_std_0
402,Merch_num_zip_actual/avg_0
403,Merch_num_zip_actual/max_0
404,Merch_num_zip_actual/total_0
405,Merch_num_zip_variability_avg_0
406,Merch_num_zip_variability_min_0
407,Merch_num_zip_variability_max_0
408,Merch_num_zip_variability_cum_0
409,Merch_num_zip_variability_std_0
410,Merch_num_zip_count_1
411,Merch_num_zip_avg_1
412,Merch_num_zip_max_1
413,Merch_num_zip_total_1
414,Merch_num_zip_std_1
415,Merch_num_zip_actual/avg_1
416,Merch_num_zip_actual/max_1
417,Merch_num_zip_actual/total_1
418,Merch_num_zip_variability_avg_1
419,Merch_num_zip_variability_min_1
420,Merch_num_zip_variability_max_1
421,Merch_num_zip_variability_cum_1
422,Merch_num_zip_variability_std_1
423,Merch_num_zip_count_3
424,Merch_num_zip_avg_3
425,Merch_num_zip_max_3
426,Merch_num_zip_total_3
427,Merch_num_zip_std_3
428,Merch_num_zip_actual/avg_3
429,Merch_num_zip_actual/max_3
430,Merch_num_zip_actual/total_3
431,Merch_num_zip_variability_avg_3
432,Merch_num_zip_variability_min_3
433,Merch_num_zip_variability_max_3
434,Merch_num_zip_variability_cum_3
435,Merch_num_zip_variability_std_3
436,Merch_num_zip_count_7
437,Merch_num_zip_avg_7
438,Merch_num_zip_max_7
439,Merch_num_zip_total_7
440,Merch_num_zip_std_7
441,Merch_num_zip_actual/avg_7
442,Merch_num_zip_actual/max_7
443,Merch_num_zip_actual/total_7
444,Merch_num_zip_variability_avg_7
445,Merch_num_zip_variability_min_7
446,Merch_num_zip_variability_max_7
447,Merch_num_zip_variability_cum_7
448,Merch_num_zip_variability_std_7
449,Merch_num_zip_count_14
450,Merch_num_zip_avg_14
451,Merch_num_zip_max_14
452,Merch_num_zip_total_14
453,Merch_num_zip_std_14
454,Merch_num_zip_actual/avg_14
455,Merch_num_zip_actual/max_14
456,Merch_num_zip_actual/total_14
457,Merch_num_zip_variability_avg_14
458,Merch_num_zip_variability_min_14
459,Merch_num_zip_variability_max_14
460,Merch_num_zip_variability_cum_14
461,Merch_num_zip_variability_std_14
462,Merch_num_zip_count_30
463,Merch_num_zip_avg_30
464,Merch_num_zip_max_30
465,Merch_num_zip_total_30
466,Merch_num_zip_std_30
467,Merch_num_zip_actual/avg_30
468,Merch_num_zip_actual/max_30
469,Merch_num_zip_actual/total_30
470,Merch_num_zip_variability_avg_30
471,Merch_num_zip_variability_min_30
472,Merch_num_zip_variability_max_30
473,Merch_num_zip_variability_cum_30
474,Merch_num_zip_variability_std_30
475,Merch_des_state_day_since
476,Merch_des_state_count_0
477,Merch_des_state_avg_0
478,Merch_des_state_max_0
479,Merch_des_state_total_0
480,Merch_des_state_std_0
481,Merch_des_state_actual/avg_0
482,Merch_des_state_actual/max_0
483,Merch_des_state_actual/total_0
484,Merch_des_state_variability_avg_0
485,Merch_des_state_variability_min_0
486,Merch_des_state_variability_max_0
487,Merch_des_state_variability_cum_0
488,Merch_des_state_variability_std_0
489,Merch_des_state_count_1
490,Merch_des_state_avg_1
491,Merch_des_state_max_1
492,Merch_des_state_total_1
493,Merch_des_state_std_1
494,Merch_des_state_actual/avg_1
495,Merch_des_state_actual/max_1
496,Merch_des_state_actual/total_1
497,Merch_des_state_variability_avg_1
498,Merch_des_state_variability_min_1
499,Merch_des_state_variability_max_1
500,Merch_des_state_variability_cum_1
501,Merch_des_state_variability_std_1
502,Merch_des_state_count_3
503,Merch_des_state_avg_3
504,Merch_des_state_max_3
505,Merch_des_state_total_3
506,Merch_des_state_std_3
507,Merch_des_state_actual/avg_3
508,Merch_des_state_actual/max_3
509,Merch_des_state_actual/total_3
510,Merch_des_state_variability_avg_3
511,Merch_des_state_variability_min_3
512,Merch_des_state_variability_max_3
513,Merch_des_state_variability_cum_3
514,Merch_des_state_variability_std_3
515,Merch_des_state_count_7
516,Merch_des_state_avg_7
517,Merch_des_state_max_7
518,Merch_des_state_total_7
519,Merch_des_state_std_7
520,Merch_des_state_actual/avg_7
521,Merch_des_state_actual/max_7
522,Merch_des_state_actual/total_7
523,Merch_des_state_variability_avg_7
524,Merch_des_state_variability_min_7
525,Merch_des_state_variability_max_7
526,Merch_des_state_variability_cum_7
527,Merch_des_state_variability_std_7
528,Merch_des_state_count_14
529,Merch_des_state_avg_14
530,Merch_des_state_max_14
531,Merch_des_state_total_14
532,Merch_des_state_std_14
533,Merch_des_state_actual/avg_14
534,Merch_des_state_actual/max_14
535,Merch_des_state_actual/total_14
536,Merch_des_state_variability_avg_14
537,Merch_des_state_variability_min_14
538,Merch_des_state_variability_max_14
539,Merch_des_state_variability_cum_14
540,Merch_des_state_variability_std_14
541,Merch_des_state_count_30
542,Merch_des_state_avg_30
543,Merch_des_state_max_30
544,Merch_des_state_total_30
545,Merch_des_state_std_30
546,Merch_des_state_actual/avg_30
547,Merch_des_state_actual/max_30
548,Merch_des_state_actual/total_30
549,Merch_des_state_variability_avg_30
550,Merch_des_state_variability_min_30
551,Merch_des_state_variability_max_30
552,Merch_des_state_variability_cum_30
553,Merch_des_state_variability_std_30
554,Merch_des_zip_day_since
555,Merch_des_zip_count_0
556,Merch_des_zip_avg_0
557,Merch_des_zip_max_0
558,Merch_des_zip_total_0
559,Merch_des_zip_std_0
560,Merch_des_zip_actual/avg_0
561,Merch_des_zip_actual/max_0
562,Merch_des_zip_actual/total_0
563,Merch_des_zip_variability_avg_0
564,Merch_des_zip_variability_min_0
565,Merch_des_zip_variability_max_0
566,Merch_des_zip_variability_cum_0
567,Merch_des_zip_variability_std_0
568,Merch_des_zip_count_1
569,Merch_des_zip_avg_1
570,Merch_des_zip_max_1
571,Merch_des_zip_total_1
572,Merch_des_zip_std_1
573,Merch_des_zip_actual/avg_1
574,Merch_des_zip_actual/max_1
575,Merch_des_zip_actual/total_1
576,Merch_des_zip_variability_avg_1
577,Merch_des_zip_variability_min_1
578,Merch_des_zip_variability_max_1
579,Merch_des_zip_variability_cum_1
580,Merch_des_zip_variability_std_1
581,Merch_des_zip_count_3
582,Merch_des_zip_avg_3
583,Merch_des_zip_max_3
584,Merch_des_zip_total_3
585,Merch_des_zip_std_3
586,Merch_des_zip_actual/avg_3
587,Merch_des_zip_actual/max_3
588,Merch_des_zip_actual/total_3
589,Merch_des_zip_variability_avg_3
590,Merch_des_zip_variability_min_3
591,Merch_des_zip_variability_max_3
592,Merch_des_zip_variability_cum_3
593,Merch_des_zip_variability_std_3
594,Merch_des_zip_count_7
595,Merch_des_zip_avg_7
596,Merch_des_zip_max_7
597,Merch_des_zip_total_7
598,Merch_des_zip_std_7
599,Merch_des_zip_actual/avg_7
600,Merch_des_zip_actual/max_7
601,Merch_des_zip_actual/total_7
602,Merch_des_zip_variability_avg_7
603,Merch_des_zip_variability_min_7
604,Merch_des_zip_variability_max_7
605,Merch_des_zip_variability_cum_7
606,Merch_des_zip_variability_std_7
607,Merch_des_zip_count_14
608,Merch_des_zip_avg_14
609,Merch_des_zip_max_14
610,Merch_des_zip_total_14
611,Merch_des_zip_std_14
612,Merch_des_zip_actual/avg_14
613,Merch_des_zip_actual/max_14
614,Merch_des_zip_actual/total_14
615,Merch_des_zip_variability_avg_14
616,Merch_des_zip_variability_min_14
617,Merch_des_zip_variability_max_14
618,Merch_des_zip_variability_cum_14
619,Merch_des_zip_variability_std_14
620,Merch_des_zip_count_30
621,Merch_des_zip_avg_30
622,Merch_des_zip_max_30
623,Merch_des_zip_total_30
624,Merch_des_zip_std_30
625,Merch_des_zip_actual/avg_30
626,Merch_des_zip_actual/max_30
627,Merch_des_zip_actual/total_30
628,Merch_des_zip_variability_avg_30
629,Merch_des_zip_variability_min_30
630,Merch_des_zip_variability_max_30
631,Merch_des_zip_variability_cum_30
632,Merch_des_zip_variability_std_30
633,Merch_state_zip_day_since
634,Merch_state_zip_count_0
635,Merch_state_zip_avg_0
636,Merch_state_zip_max_0
637,Merch_state_zip_total_0
638,Merch_state_zip_std_0
639,Merch_state_zip_actual/avg_0
640,Merch_state_zip_actual/max_0
641,Merch_state_zip_actual/total_0
642,Merch_state_zip_variability_avg_0
643,Merch_state_zip_variability_min_0
644,Merch_state_zip_variability_max_0
645,Merch_state_zip_variability_cum_0
646,Merch_state_zip_variability_std_0
647,Merch_state_zip_count_1
648,Merch_state_zip_avg_1
649,Merch_state_zip_max_1
650,Merch_state_zip_total_1
651,Merch_state_zip_std_1
652,Merch_state_zip_actual/avg_1
653,Merch_state_zip_actual/max_1
654,Merch_state_zip_actual/total_1
655,Merch_state_zip_variability_avg_1
656,Merch_state_zip_variability_min_1
657,Merch_state_zip_variability_max_1
658,Merch_state_zip_variability_cum_1
659,Merch_state_zip_variability_std_1
660,Merch_state_zip_count_3
661,Merch_state_zip_avg_3
662,Merch_state_zip_max_3
663,Merch_state_zip_total_3
664,Merch_state_zip_std_3
665,Merch_state_zip_actual/avg_3
666,Merch_state_zip_actual/max_3
667,Merch_state_zip_actual/total_3
668,Merch_state_zip_variability_avg_3
669,Merch_state_zip_variability_min_3
670,Merch_state_zip_variability_max_3
671,Merch_state_zip_variability_cum_3
672,Merch_state_zip_variability_std_3
673,Merch_state_zip_count_7
674,Merch_state_zip_avg_7
675,Merch_state_zip_max_7
676,Merch_state_zip_total_7
677,Merch_state_zip_std_7
678,Merch_state_zip_actual/avg_7
679,Merch_state_zip_actual/max_7
680,Merch_state_zip_actual/total_7
681,Merch_state_zip_variability_avg_7
682,Merch_state_zip_variability_min_7
683,Merch_state_zip_variability_max_7
684,Merch_state_zip_variability_cum_7
685,Merch_state_zip_variability_std_7
686,Merch_state_zip_count_14
687,Merch_state_zip_avg_14
688,Merch_state_zip_max_14
689,Merch_state_zip_total_14
690,Merch_state_zip_std_14
691,Merch_state_zip_actual/avg_14
692,Merch_state_zip_actual/max_14
693,Merch_state_zip_actual/total_14
694,Merch_state_zip_variability_avg_14
695,Merch_state_zip_variability_min_14
696,Merch_state_zip_variability_max_14
697,Merch_state_zip_variability_cum_14
698,Merch_state_zip_variability_std_14
699,Merch_state_zip_count_30
700,Merch_state_zip_avg_30
701,Merch_state_zip_max_30
702,Merch_state_zip_total_30
703,Merch_state_zip_std_30
704,Merch_state_zip_actual/avg_30
705,Merch_state_zip_actual/max_30
706,Merch_state_zip_actual/total_30
707,Merch_state_zip_variability_avg_30
708,Merch_state_zip_variability_min_30
709,Merch_state_zip_variability_max_30
710,Merch_state_zip_variability_cum_30
711,Merch_state_zip_variability_std_30
712,Merch_num_des_state_day_since
713,Merch_num_des_state_count_0
714,Merch_num_des_state_avg_0
715,Merch_num_des_state_max_0
716,Merch_num_des_state_total_0
717,Merch_num_des_state_std_0
718,Merch_num_des_state_actual/avg_0
719,Merch_num_des_state_actual/max_0
720,Merch_num_des_state_actual/total_0
721,Merch_num_des_state_variability_avg_0
722,Merch_num_des_state_variability_min_0
723,Merch_num_des_state_variability_max_0
724,Merch_num_des_state_variability_cum_0
725,Merch_num_des_state_variability_std_0
726,Merch_num_des_state_count_1
727,Merch_num_des_state_avg_1
728,Merch_num_des_state_max_1
729,Merch_num_des_state_total_1
730,Merch_num_des_state_std_1
731,Merch_num_des_state_actual/avg_1
732,Merch_num_des_state_actual/max_1
733,Merch_num_des_state_actual/total_1
734,Merch_num_des_state_variability_avg_1
735,Merch_num_des_state_variability_min_1
736,Merch_num_des_state_variability_max_1
737,Merch_num_des_state_variability_cum_1
738,Merch_num_des_state_variability_std_1
739,Merch_num_des_state_count_3
740,Merch_num_des_state_avg_3
741,Merch_num_des_state_max_3
742,Merch_num_des_state_total_3
743,Merch_num_des_state_std_3
744,Merch_num_des_state_actual/avg_3
745,Merch_num_des_state_actual/max_3
746,Merch_num_des_state_actual/total_3
747,Merch_num_des_state_variability_avg_3
748,Merch_num_des_state_variability_min_3
749,Merch_num_des_state_variability_max_3
750,Merch_num_des_state_variability_cum_3
751,Merch_num_des_state_variability_std_3
752,Merch_num_des_state_count_7
753,Merch_num_des_state_avg_7
754,Merch_num_des_state_max_7
755,Merch_num_des_state_total_7
756,Merch_num_des_state_std_7
757,Merch_num_des_state_actual/avg_7
758,Merch_num_des_state_actual/max_7
759,Merch_num_des_state_actual/total_7
760,Merch_num_des_state_variability_avg_7
761,Merch_num_des_state_variability_min_7
762,Merch_num_des_state_variability_max_7
763,Merch_num_des_state_variability_cum_7
764,Merch_num_des_state_variability_std_7
765,Merch_num_des_state_count_14
766,Merch_num_des_state_avg_14
767,Merch_num_des_state_max_14
768,Merch_num_des_state_total_14
769,Merch_num_des_state_std_14
770,Merch_num_des_state_actual/avg_14
771,Merch_num_des_state_actual/max_14
772,Merch_num_des_state_actual/total_14
773,Merch_num_des_state_variability_avg_14
774,Merch_num_des_state_variability_min_14
775,Merch_num_des_state_variability_max_14
776,Merch_num_des_state_variability_cum_14
777,Merch_num_des_state_variability_std_14
778,Merch_num_des_state_count_30
779,Merch_num_des_state_avg_30
780,Merch_num_des_state_max_30
781,Merch_num_des_state_total_30
782,Merch_num_des_state_std_30
783,Merch_num_des_state_actual/avg_30
784,Merch_num_des_state_actual/max_30
785,Merch_num_des_state_actual/total_30
786,Merch_num_des_state_variability_avg_30
787,Merch_num_des_state_variability_min_30
788,Merch_num_des_state_variability_max_30
789,Merch_num_des_state_variability_cum_30
790,Merch_num_des_state_variability_std_30
791,Merch_num_des_zip_day_since
792,Merch_num_des_zip_count_0
793,Merch_num_des_zip_avg_0
794,Merch_num_des_zip_max_0
795,Merch_num_des_zip_total_0
796,Merch_num_des_zip_std_0
797,Merch_num_des_zip_actual/avg_0
798,Merch_num_des_zip_actual/max_0
799,Merch_num_des_zip_actual/total_0
800,Merch_num_des_zip_variability_avg_0
801,Merch_num_des_zip_variability_min_0
802,Merch_num_des_zip_variability_max_0
803,Merch_num_des_zip_variability_cum_0
804,Merch_num_des_zip_variability_std_0
805,Merch_num_des_zip_count_1
806,Merch_num_des_zip_avg_1
807,Merch_num_des_zip_max_1
808,Merch_num_des_zip_total_1
809,Merch_num_des_zip_std_1
810,Merch_num_des_zip_actual/avg_1
811,Merch_num_des_zip_actual/max_1
812,Merch_num_des_zip_actual/total_1
813,Merch_num_des_zip_variability_avg_1
814,Merch_num_des_zip_variability_min_1
815,Merch_num_des_zip_variability_max_1
816,Merch_num_des_zip_variability_cum_1
817,Merch_num_des_zip_variability_std_1
818,Merch_num_des_zip_count_3
819,Merch_num_des_zip_avg_3
820,Merch_num_des_zip_max_3
821,Merch_num_des_zip_total_3
822,Merch_num_des_zip_std_3
823,Merch_num_des_zip_actual/avg_3
824,Merch_num_des_zip_actual/max_3
825,Merch_num_des_zip_actual/total_3
826,Merch_num_des_zip_variability_avg_3
827,Merch_num_des_zip_variability_min_3
828,Merch_num_des_zip_variability_max_3
829,Merch_num_des_zip_variability_cum_3
830,Merch_num_des_zip_variability_std_3
831,Merch_num_des_zip_count_7
832,Merch_num_des_zip_avg_7
833,Merch_num_des_zip_max_7
834,Merch_num_des_zip_total_7
835,Merch_num_des_zip_std_7
836,Merch_num_des_zip_actual/avg_7
837,Merch_num_des_zip_actual/max_7
838,Merch_num_des_zip_actual/total_7
839,Merch_num_des_zip_variability_avg_7
840,Merch_num_des_zip_variability_min_7
841,Merch_num_des_zip_variability_max_7
842,Merch_num_des_zip_variability_cum_7
843,Merch_num_des_zip_variability_std_7
844,Merch_num_des_zip_count_14
845,Merch_num_des_zip_avg_14
846,Merch_num_des_zip_max_14
847,Merch_num_des_zip_total_14
848,Merch_num_des_zip_std_14
849,Merch_num_des_zip_actual/avg_14
850,Merch_num_des_zip_actual/max_14
851,Merch_num_des_zip_actual/total_14
852,Merch_num_des_zip_variability_avg_14
853,Merch_num_des_zip_variability_min_14
854,Merch_num_des_zip_variability_max_14
855,Merch_num_des_zip_variability_cum_14
856,Merch_num_des_zip_variability_std_14
857,Merch_num_des_zip_count_30
858,Merch_num_des_zip_avg_30
859,Merch_num_des_zip_max_30
